Condition    Stage    Image_n    Probe    index    z    y    x    n_rna    coloc
HS    2-cell    Image_10_191016    set-3    26    493    424    21    5    TRUE
HS    2-cell    Image_10_191016    set-3    27    346    236    23    5    FALSE
HS    2-cell    Image_10_191016    set-3    28    408    489    23    6    TRUE
HS    2-cell    Image_10_191016    set-3    29    267    290    26    5    FALSE
HS    2-cell    Image_10_191016    set-3    30    356    340    25    5    TRUE
HS    2-cell    Image_10_191016    set-3    31    420    430    26    6    FALSE
HS    2-cell    Image_10_191016    set-3    32    475    303    27    6    FALSE
HS    2-cell    Image_10_191016    set-3    33    331    419    27    5    FALSE
HS    4-cell    Image_03_191010    B04957    1    44    149    29    18    FALSE
HS    4-cell    Image_03_191010    B04957    2    55    84    32    9    TRUE
HS    4-cell    Image_03_191010    B04957    3    60    233    43    7    FALSE
HS    4-cell    Image_03_191010    B04957    4    69    54    37    5    TRUE
HS    4-cell    Image_03_191010    B04957    5    70    109    11    8    FALSE
HS    4-cell    Image_03_191010    B04957    6    76    299    27    12    FALSE
HS    4-cell    Image_03_191010    B04957    7    78    255    32    9    FALSE
HS    4-cell    Image_03_191010    B04957    8    73    59    19    10    TRUE
HS    4-cell    Image_03_191010    B04957    9    127    148    15    6    TRUE
HS    4-cell    Image_03_191010    B04957    10    149    144    34    5    FALSE
HS    4-cell    Image_03_191010    B04957    11    201    357    29    5    FALSE
HS    4-cell    Image_03_191010    B04957    12    198    95    32    6    TRUE
HS    4-cell    Image_03_191010    B04957    13    295    287    12    6    FALSE
HS    4-cell    Image_03_191010    B04957    14    128    104    9    9    TRUE
HS    4-cell    Image_03_191010    B04957    15    139    131    7    6    FALSE
HS    4-cell    Image_03_191010    B04957    16    98    237    11    7    FALSE
HS    4-cell    Image_03_191010    B04957    17    180    454    6    10    FALSE
HS    4-cell    Image_03_191010    B04957    18    182    280    7    5    FALSE
HS    4-cell    Image_03_191010    B04957    19    241    297    7    5    FALSE
HS    4-cell    Image_03_191010    B04957    20    90    338    8    5    FALSE
HS    4-cell    Image_03_191010    B04957    21    130    411    7    5    FALSE
HS    4-cell    Image_03_191010    B04957    22    210    150    17    8    FALSE
HS    4-cell    Image_03_191010    B04957    23    187    208    19    5    FALSE
HS    4-cell    Image_03_191010    B04957    24    186    205    8    5    FALSE
HS    4-cell    Image_03_191010    B04957    25    213    204    8    6    FALSE
HS    4-cell    Image_03_191010    B04957    26    204    301    8    5    FALSE
HS    4-cell    Image_03_191010    B04957    27    91    316    9    5    FALSE
HS    4-cell    Image_03_191010    B04957    28    218    333    8    5    FALSE
HS    4-cell    Image_03_191010    B04957    29    158    387    9    5    FALSE
HS    4-cell    Image_03_191010    B04957    30    189    397    7    5    FALSE
HS    4-cell    Image_03_191010    B04957    31    124    442    8    5    FALSE
HS    4-cell    Image_03_191010    B04957    32    65    263    14    7    FALSE
HS    4-cell    Image_03_191010    B04957    33    155    282    11    10    FALSE
HS    4-cell    Image_03_191010    B04957    34    259    441    10    6    FALSE
HS    4-cell    Image_03_191010    B04957    35    151    198    11    5    FALSE
HS    4-cell    Image_03_191010    B04957    36    38    206    12    6    FALSE
HS    4-cell    Image_03_191010    B04957    37    76    123    11    8    TRUE
HS    4-cell    Image_03_191010    B04957    38    53    274    12    7    FALSE
HS    4-cell    Image_03_191010    B04957    39    191    369    12    5    FALSE
HS    4-cell    Image_03_191010    B04957    40    118    46    12    7    TRUE
HS    4-cell    Image_03_191010    B04957    41    118    299    13    5    FALSE
HS    4-cell    Image_03_191010    B04957    42    213    72    14    5    TRUE
HS    4-cell    Image_03_191010    B04957    43    81    207    13    6    FALSE
HS    4-cell    Image_03_191010    B04957    44    85    318    14    6    FALSE
HS    4-cell    Image_03_191010    B04957    45    81    334    17    11    FALSE
HS    4-cell    Image_03_191010    B04957    46    179    196    22    5    FALSE
HS    4-cell    Image_03_191010    B04957    47    55    203    15    7    FALSE
HS    4-cell    Image_03_191010    B04957    48    140    412    14    5    FALSE
HS    4-cell    Image_03_191010    B04957    49    177    322    17    5    FALSE
HS    4-cell    Image_03_191010    B04957    50    216    357    15    5    FALSE
HS    4-cell    Image_03_191010    B04957    51    164    341    23    21    FALSE
HS    4-cell    Image_03_191010    B04957    52    191    486    29    9    FALSE
HS    4-cell    Image_03_191010    B04957    53    220    103    18    5    TRUE
HS    4-cell    Image_03_191010    B04957    54    135    235    20    6    FALSE
HS    4-cell    Image_03_191010    B04957    55    148    371    19    5    FALSE
HS    4-cell    Image_03_191010    B04957    56    317    292    20    5    FALSE
HS    4-cell    Image_03_191010    B04957    57    249    94    22    5    FALSE
HS    4-cell    Image_03_191010    B04957    58    197    235    21    5    FALSE
HS    4-cell    Image_03_191010    B04957    59    180    268    23    5    FALSE
