RowNo	Image	RNAi_Condition	Transcript	Cell_Stage	Total_No_RNA	No_RNA_clusters	No_RNA_in_clusters	fraction_RNA_in_clusters	Average_No_RNA_per_Cluster
537	16-24-cell_05_C2	spn-4_mex-3	cpg-2	16-24-cell	17411	602	10830	0.622020562	17.99003322
538	16-24-cell_06_left_C1	spn-4_mex-3	clu-1	16-24-cell	124	5	41	0.330645161	8.2
539	16-24-cell_06_left_C2	spn-4_mex-3	cpg-2	16-24-cell	17905	560	9198	0.513711254	16.425
540	16-24-cell_06_right_C1	spn-4_mex-3	clu-1	16-24-cell	129	2	11	0.085271318	5.5
541	16-24-cell_06_right_C2	spn-4_mex-3	cpg-2	16-24-cell	18164	550	10046	0.553072011	18.26545455
542	16-24-cell_06-2_C1	spn-4_mex-3	clu-1	16-24-cell	76	1	5	0.065789474	5
543	16-24-cell_06-2_C2	spn-4_mex-3	cpg-2	16-24-cell	17873	599	7869	0.440273038	13.13689482
544	16-24-cell_16_C1	spn-4_mex-3	clu-1	16-24-cell	107	1	5	0.046728972	5
545	16-24-cell_16_C2	spn-4_mex-3	cpg-2	16-24-cell	17820	561	9978	0.55993266	17.78609626
546	26-48-cell_02_C1	spn-4_mex-3	clu-1	26-48-cell	225	5	30	0.133333333	6
547	26-48-cell_02_C2	spn-4_mex-3	cpg-2	26-48-cell	14072	459	9717	0.690520182	21.16993464
548	26-48-cell_04_C1	spn-4_mex-3	clu-1	26-48-cell	1082	12	119	0.109981516	9.916666667
549	26-48-cell_04_C2	spn-4_mex-3	cpg-2	26-48-cell	1343	63	622	0.463142219	9.873015873
550	26-48-cell_07_C1	spn-4_mex-3	clu-1	26-48-cell	392	2	21	0.053571429	10.5
551	26-48-cell_07_C2	spn-4_mex-3	cpg-2	26-48-cell	7507	260	4082	0.543759158	15.7
552	26-48-cell_15_C1	spn-4_mex-3	clu-1	26-48-cell	550	2	11	0.02	5.5
553	26-48-cell_15_C2	spn-4_mex-3	cpg-2	26-48-cell	13248	336	9049	0.683046498	26.93154762
554	26-48-cell_17_C1	spn-4_mex-3	clu-1	26-48-cell	169	2	18	0.106508876	9
555	26-48-cell_17_C2	spn-4_mex-3	cpg-2	26-48-cell	19734	435	12773	0.647258539	29.36321839
